loss,손실
take action,조치를 취하다
devastating,파괴적인;  멈청난
energy-efficient,메너지 효율이 좋은
stabilize,안정시키다
fountain,명상(묵상)하다
toxic,…을 섭취(흡수)하다
meditate,"나들이, 소풍"
take in,(만약) 그렇지 않으면) (와는
outing,소개하다; 도입하다
otherwise,미전에
introduce,입양하다; 채택하다
previously,금융(재정)의
adopt,"원조, 지원"
financial,"추구하다, 밀고 나가다(해 나가다)"
aid,협상(교섭)하다
pursue,무슨 수를 써서라도
perspective,…에 쿨복하다
paralyze,"선례, 판례; 전례"
captive,"사실상, 거의"
lie in the balance,
negotiate,
at all costs,
give in to,
Precedent,
practically,
fund-raising,
firm,
